1	E	(2,2)	(3,1)	a(X, Y)
2	U	(7,2)	-	-
3	C	(4,1)	(8,1)	-
4	U	(5,1)	-	b(X, Z)
5	A	(6,1)	-	-
6	C	(2,1)	(9,1)	-
7	U	(11,1)	-	-
8	U	(9,2)	-	c(Y, Z)
9	U	(10,1)	-	-
10	A	(7,1)	-	-
11	R	-	-	-
12	E	(13,2)	(14,1)	a(X, Y)
13	U	(18,2)	-	-
14	C	(15,1)	(19,1)	-
15	U	(16,1)	-	b(X)
16	A	(17,1)	-	-
17	C	(13,1)	(20,1)	-
18	U	(23,1)	-	-
19	U	(21,1)	-	c(Y)
20	U	(22,1)	-	-
21	I	(20,2)	(22,1)	[[Y, X]]
22	A	(18,1)	-	-
23	R	-	-	-
24	E	(25,2)	(26,1)	a([A|B])
25	U	(30,2)	-	-
26	C	(27,1)	(31,1)	-
27	U	(28,1)	-	b(A)
28	A	(29,1)	-	-
29	C	(25,1)	(32,1)	-
30	U	(35,1)	-	-
31	U	(33,1)	-	c(B)
32	U	(34,1)	-	-
33	I	(32,2)	(34,1)	[[B, A]]
34	A	(30,1)	-	-
35	R	-	-	-
36	E	(37,2)	(38,1)	a([A], [B])
37	U	(42,2)	-	-
38	C	(39,1)	(43,1)	-
39	U	(40,1)	-	b([[A]])
40	A	(41,1)	-	-
41	C	(37,1)	(44,1)	-
42	U	(47,1)	-	-
43	U	(45,1)	-	c([B])
44	U	(46,1)	-	-
45	I	(44,2)	(46,1)	[[B, A]]
46	A	(42,1)	-	-
47	R	-	-	-
48	E	(49,2)	(50,1)	a(X, Y)
49	U	(54,2)	-	-
50	C	(51,1)	(55,1)	(61,1)	(69,1)	(79,1)	(91,1)	(105,1)	(121,1)	
51	U	(52,1)	-	>(X, Y)
52	A	(53,1)	-	-
53	C	(49,1)	(56,1)	(62,1)	(70,1)	(80,1)	(92,1)	(106,1)	(122,1)	
54	U	(60,2)	-	-
55	U	(57,1)	-	>=(X, Y)
56	U	(58,1)	-	-
57	G	(56,2)	(58,1)	X, Y
58	A	(59,1)	-	-
59	C	(54,1)	(64,1)	(72,1)	(82,1)	(94,1)	(108,1)	(124,1)	
60	U	(68,2)	-	-
61	U	(63,1)	-	<(X, Y)
62	U	(65,1)	-	-
63	G	(62,2)	(65,1)	X, Y
64	U	(66,1)	-	-
65	G	(64,2)	(66,1)	X, Y
66	A	(67,1)	-	-
67	C	(60,1)	(74,1)	(84,1)	(96,1)	(110,1)	(126,1)	
68	U	(78,2)	-	-
69	U	(71,1)	-	=<(X, Y)
70	U	(73,1)	-	-
71	G	(70,2)	(73,1)	X, Y
72	U	(75,1)	-	-
73	G	(72,2)	(75,1)	X, Y
74	U	(76,1)	-	-
75	G	(74,2)	(76,1)	X, Y
76	A	(77,1)	-	-
77	C	(68,1)	(86,1)	(98,1)	(112,1)	(128,1)	
78	U	(90,2)	-	-
79	U	(81,1)	-	=(X, Y)
80	U	(83,1)	-	-
81	G	(80,2)	(83,1)	X, Y
82	U	(85,1)	-	-
83	G	(82,2)	(85,1)	X, Y
84	U	(87,1)	-	-
85	G	(84,2)	(87,1)	X, Y
86	U	(88,1)	-	-
87	G	(86,2)	(88,1)	X, Y
88	A	(89,1)	-	-
89	C	(78,1)	(100,1)	(114,1)	(130,1)	
90	U	(104,2)	-	-
91	U	(93,1)	-	==(X, Y)
92	U	(95,1)	-	-
93	G	(92,2)	(95,1)	X, Y
94	U	(97,1)	-	-
95	G	(94,2)	(97,1)	X, Y
96	U	(99,1)	-	-
97	G	(96,2)	(99,1)	X, Y
98	U	(101,1)	-	-
99	G	(98,2)	(101,1)	X, Y
100	U	(102,1)	-	-
101	G	(100,2)	(102,1)	X, Y
102	A	(103,1)	-	-
103	C	(90,1)	(116,1)	(132,1)	
104	U	(120,2)	-	-
105	U	(107,1)	-	\=(X, Y)
106	U	(109,1)	-	-
107	G	(106,2)	(109,1)	X, Y
108	U	(111,1)	-	-
109	G	(108,2)	(111,1)	X, Y
110	U	(113,1)	-	-
111	G	(110,2)	(113,1)	X, Y
112	U	(115,1)	-	-
113	G	(112,2)	(115,1)	X, Y
114	U	(117,1)	-	-
115	G	(114,2)	(117,1)	X, Y
116	U	(118,1)	-	-
117	G	(116,2)	(118,1)	X, Y
118	A	(119,1)	-	-
119	C	(104,1)	(134,1)	-
120	U	(137,1)	-	-
121	U	(123,1)	-	\==(X, Y)
122	U	(125,1)	-	-
123	G	(122,2)	(125,1)	X, Y
124	U	(127,1)	-	-
125	G	(124,2)	(127,1)	X, Y
126	U	(129,1)	-	-
127	G	(126,2)	(129,1)	X, Y
128	U	(131,1)	-	-
129	G	(128,2)	(131,1)	X, Y
130	U	(133,1)	-	-
131	G	(130,2)	(133,1)	X, Y
132	U	(135,1)	-	-
133	G	(132,2)	(135,1)	X, Y
134	U	(136,1)	-	-
135	G	(134,2)	(136,1)	X, Y
136	A	(120,1)	-	-
137	R	-	-	-
138	E	(139,2)	(140,1)	a(X, Y)
139	U	(144,2)	-	-
140	C	(141,1)	(145,1)	(149,1)	(153,1)	
141	U	(142,1)	-	b(5)
142	A	(143,1)	-	-
143	C	(139,1)	-	-
